rank,pack,name,category,Q,test_rankicir,monotonicity,ls_sharpe,composite_score,formula,columns
1,factor_pack_027,AM_ts_mean_return_div_open_d4085de9,资金动量,0.9487,0.5679,0.9,1.1712,0.7738,,"开盘价_复权, 成交额"
2,factor_pack_028,AM_add_open_delta_c1a4ac91,量能基础,0.941,-0.5749,-0.8,-1.3281,0.7672,,"开盘价_复权, 成交量"
3,factor_pack_029,AM_mul_ts_sum_amount_bf8b6da1,资金基础,0.932,-0.5157,-1.0,-0.981,0.7534,,"最高价_复权, 成交额, 收盘价_复权, 最低价_复权"
4,factor_pack_022,AM_neg_ts_pct_change_abs_ee1bb069,量能动量,0.9211,0.5111,1.0,1.1636,0.7527,,成交量
5,factor_pack_022,AM_mul_signed_power_amplitude_758209a4,资金基础,0.9178,-0.5015,-1.0,-1.2863,0.7522,,"最高价_复权, 成交额, 前收盘价, 最低价_复权"
6,factor_pack_030,AM_mul_amount_ts_std_0910cc9f,资金动量,0.9134,-0.5205,-1.0,-1.1801,0.7522,,"最高价_复权, 成交额, 收盘价_复权, 最低价_复权"
7,factor_pack_026,AM_signed_power_ts_maxmin_volume_3abae467,量能动量,0.9212,-0.4887,-1.0,-1.2647,0.7494,,成交量
8,factor_pack_028,AM_ts_maxmin_signed_power_volume_8af03928,量能动量,0.9054,-0.5232,-0.9,-1.377,0.7456,,成交量
9,factor_pack_022,AM_mul_abs_amount_3779853f,资金基础,0.9047,-0.4988,-1.0,-1.2683,0.7443,,"最高价_复权, 成交额, 收盘价_复权, 最低价_复权"
10,factor_pack_023,AM_abs_mul_amount_a1dda97d,资金基础,0.9012,-0.4899,-1.0,-1.364,0.743,,"最高价_复权, 成交额, 前收盘价, 最低价_复权"
11,factor_pack_029,AM_sub_sign_ts_std_dd8ee5e9,资金动量,0.8951,-0.5067,-0.9,-1.6027,0.743,,"成交额, 收盘价_复权"
12,factor_pack_026,AM_mul_amount_log_ed73d532,资金基础,0.8994,-0.4889,-1.0,-1.3712,0.7421,,"最高价_复权, 成交额, 前收盘价, 最低价_复权"
13,factor_pack_026,AM_ts_dema_mul_amount_f2ef68c3,资金动量,0.8963,-0.4882,-1.0,-1.3257,0.7388,,"最高价_复权, 成交额, 前收盘价, 最低价_复权"
14,factor_pack_030,AM_neg_ts_maxmin_volume_b4c7097f,量能动量,0.9116,0.4789,1.0,1.129,0.7371,,成交量
15,factor_pack_026,AM_mul_amount_mul_0992fa40,量能动量,0.8977,-0.4576,-1.0,-1.5235,0.7369,,"成交额, 成交量, 最高价_复权, 前收盘价, 最低价_复权"
16,factor_pack_028,AM_ts_std_signed_power_amount_888f7541,资金动量,0.8779,-0.486,-1.0,-1.5578,0.7367,,成交额
17,factor_pack_029,AM_ts_maxmin_abs_volume_22868f8f,量能动量,0.9023,-0.4959,-0.9,-1.3781,0.7359,,成交量
18,factor_pack_029,AM_abs_ts_maxmin_sub_627088c0,量能动量,0.9023,-0.4959,-0.9,-1.3781,0.7359,,成交量
19,factor_pack_026,AM_ts_maxmin_add_volume_bd3d9c28,量能动量,0.9028,-0.4964,-0.9,-1.2977,0.7336,,"开盘价_复权, 成交量, 收盘价_复权"
20,factor_pack_026,AM_signed_power_mul_amount_8ae7bd21,资金基础,0.8819,-0.4899,-1.0,-1.364,0.7334,,"最高价_复权, 成交额, 前收盘价, 最低价_复权"
21,factor_pack_023,AM_ts_pct_change_signed_power_mul_621cb807,量能动量,0.913,-0.5272,-0.9,-0.8146,0.7318,,"成交额, 成交量, 最低价_复权"
22,factor_pack_028,AM_ts_inverse_cv_delta_amount_5166de46,资金动量,0.901,-0.4893,-0.9,-1.3107,0.731,,成交额
23,factor_pack_027,AM_ts_inverse_cv_div_delta_a5e987bd,资金动量,0.901,-0.4893,-0.9,-1.3107,0.731,,成交额
24,factor_pack_025,AM_log_mul_amplitude_79b9b6af,资金基础,0.8754,-0.4899,-1.0,-1.364,0.7301,,"最高价_复权, 成交额, 前收盘价, 最低价_复权"
25,factor_pack_030,AM_ema_ts_dema_delta_8dc6d97c,波动振幅,0.8826,0.4554,1.0,1.5643,0.7301,,"最高价_复权, 前收盘价, 最低价_复权"
