看涨合约-买量,看涨合约-买价,看涨合约-最新价,看涨合约-卖价,看涨合约-卖量,看涨合约-持仓量,看涨合约-涨跌,行权价,看涨合约-标识,看跌合约-买量,看跌合约-买价,看跌合约-最新价,看跌合约-卖价,看跌合约-卖量,看跌合约-持仓量,看跌合约-涨跌,看跌合约-标识
1,3125.6,3136.8,3208.4,1,219,0.04,5200,mo2606C5200,11,0.4,0.8,0.8,10,2242,0.0,mo2606P5200
1,2927.8,2940.0,3007.2,2,142,0.15,5400,mo2606C5400,5,0.8,0.8,1.0,5,787,-20.0,mo2606P5400
1,2730.2,2737.6,2805.8,1,228,0.07,5600,mo2606C5600,66,0.8,1.0,1.2,11,1190,0.0,mo2606P5600
1,2532.4,2539.4,2604.2,1,187,0.14,5800,mo2606C5800,39,0.8,1.0,1.0,3,1310,0.0,mo2606P5800
1,2334.0,2437.4,2402.0,1,265,4.34,6000,mo2606C6000,11,0.8,0.8,1.0,2,1205,-20.0,mo2606P6000
1,2135.8,2137.2,2200.2,1,269,0.05,6200,mo2606C6200,3,0.8,1.0,1.0,6,998,0.0,mo2606P6200
1,1942.0,1955.2,1987.4,1,300,0.97,6400,mo2606C6400,12,1.0,1.2,1.2,3,1299,20.0,mo2606P6400
1,1742.6,1721.2,1789.8,1,365,-0.9,6600,mo2606C6600,6,1.0,1.2,1.2,25,1057,20.0,mo2606P6600
1,1643.0,1637.8,1687.6,1,94,0.04,6700,mo2606C6700,9,1.0,1.2,1.2,1,560,0.0,mo2606P6700
1,1543.2,1550.8,1589.8,1,586,0.86,6800,mo2606C6800,9,1.4,1.6,1.6,2,1846,0.0,mo2606P6800
1,1443.6,1437.6,1490.8,1,225,-0.03,6900,mo2606C6900,22,1.2,1.4,1.4,3,608,-12.5,mo2606P6900
1,1344.6,1442.4,1390.6,1,513,7.75,7000,mo2606C7000,15,2.0,2.0,2.2,4,3009,-16.67,mo2606P7000
1,1247.4,1240.0,1289.6,1,277,0.05,7100,mo2606C7100,4,2.0,2.2,2.2,2,808,-15.38,mo2606P7100
1,1148.2,1115.8,1193.4,1,877,-2.17,7200,mo2606C7200,13,2.6,2.8,3.0,11,2124,-6.67,mo2606P7200
1,1050.0,1070.2,1094.0,1,168,2.71,7300,mo2606C7300,7,3.6,3.6,3.8,8,2161,-14.29,mo2606P7300
1,962.6,970.0,982.4,1,1172,2.71,7400,mo2606C7400,9,4.4,4.6,4.6,15,4427,-20.69,mo2606P7400
1,865.2,840.0,885.6,1,304,0.02,7500,mo2606C7500,6,7.4,7.4,7.6,6,5166,-21.28,mo2606P7500
1,769.0,765.8,788.6,1,1254,3.12,7600,mo2606C7600,1,11.0,11.4,11.6,8,6036,-22.97,mo2606P7600
1,674.4,682.8,688.0,1,542,4.66,7700,mo2606C7700,3,17.6,17.8,17.8,2,5106,-23.93,mo2606P7700
2,582.4,592.8,606.4,2,1305,5.67,7800,mo2606C7800,43,27.0,27.0,27.2,1,8063,-23.3,mo2606P7800
1,500.6,507.6,506.0,1,1480,5.44,7900,mo2606C7900,4,39.6,39.6,39.8,5,5218,-21.12,mo2606P7900
1,418.8,421.8,425.0,9,3532,4.51,8000,mo2606C8000,9,57.2,57.2,57.8,1,11881,-19.44,mo2606P8000
1,344.4,344.6,344.8,2,1392,5.38,8100,mo2606C8100,2,79.8,79.8,80.0,2,5267,-19.72,mo2606P8100
1,277.8,277.8,278.0,11,3595,6.11,8200,mo2606C8200,2,110.0,110.0,110.2,1,6632,-17.04,mo2606P8200
2,215.2,216.0,216.0,3,3501,5.16,8300,mo2606C8300,1,146.0,148.0,148.0,8,5480,-16.76,mo2606P8300
3,163.6,163.8,163.8,2,7474,2.76,8400,mo2606C8400,8,196.0,196.0,197.2,1,5765,-14.41,mo2606P8400
3,119.0,119.0,119.6,1,7513,-0.34,8500,mo2606C8500,5,251.0,251.0,251.6,1,6754,-13.39,mo2606P8500
4,84.0,84.6,84.6,31,12073,-4.94,8600,mo2606C8600,1,315.6,316.0,316.0,1,5268,-11.48,mo2606P8600
5,58.6,58.8,58.8,8,8292,-8.98,8700,mo2606C8700,1,384.6,390.0,390.2,1,3950,-9.93,mo2606P8700
22,41.0,41.0,41.8,4,13364,-14.58,8800,mo2606C8800,2,474.6,476.2,477.8,1,3449,-8.7,mo2606P8800
2,27.2,27.2,27.8,2,7954,-19.05,8900,mo2606C8900,1,547.6,561.0,571.2,1,985,-7.18,mo2606P8900
1,18.8,19.0,19.0,10,18000,-24.0,9000,mo2606C9000,1,638.6,654.2,662.0,1,1987,-5.63,mo2606P9000
8,11.4,11.8,11.8,8,6057,-27.16,9100,mo2606C9100,1,730.8,745.0,754.8,1,380,-4.93,mo2606P9100
21,8.0,8.2,8.2,10,8655,-30.51,9200,mo2606C9200,1,827.2,844.8,851.0,1,416,-4.37,mo2606P9200
12,5.4,5.6,5.6,6,4703,-31.71,9300,mo2606C9300,1,927.0,938.6,949.0,1,221,-4.19,mo2606P9300
4,3.6,3.8,3.8,3,5447,-36.67,9400,mo2606C9400,1,1023.2,1036.2,1047.0,1,341,-3.59,mo2606P9400
19,3.2,3.4,3.4,3,4005,-22.73,9500,mo2606C9500,1,1130.0,1135.4,1153.4,1,293,-2.77,mo2606P9500
8,3.6,3.6,3.8,9,5009,-14.29,9600,mo2606C9600,1,1211.8,1263.2,1254.8,1,239,-0.27,mo2606P9600
10,2.8,3.0,3.0,1,3070,-16.67,9700,mo2606C9700,1,1312.6,1362.4,1354.8,1,110,-0.61,mo2606P9700
22,3.0,3.0,3.2,4,3524,-11.76,9800,mo2606C9800,1,1410.4,1461.4,1455.6,1,103,-0.59,mo2606P9800
2,2.8,2.8,3.0,27,5100,-12.5,9900,mo2606C9900,1,1511.6,1561.0,1556.8,1,144,-0.57,mo2606P9900
